EMOT|SIT
6|-PRON- feel shame when -PRON- discontinue -PRON- education for eight month .
4|-PRON- be together with -PRON- family one night , a few day after -PRON- á father have die , during that conversation -PRON- express -PRON- á displeasure because nobody understand -PRON- .
6|-PRON- be examine by a teacher -PRON- greatly respect . -PRON- be well á prepare on the subject but -PRON- put some side - issue to -PRON- and -PRON- á could not answer .
6|-PRON- want -PRON- boyfriend to stay when -PRON- do not . -PRON- stay but when á -PRON- leave -PRON- feel ashamed because -PRON- should have let -PRON- leave when á -PRON- want . -PRON- be too selfish .
4|when -PRON- grandmother die .
2|when -PRON- hear that -PRON- father have find a letter from -PRON- boyfriend á and -PRON- be call -PRON- to talk about -PRON- .
3|before the certificate examination -PRON- be very poor in Biology á ( the bad result in -PRON- class ) .   ever since F.5 -PRON- have be á get poor and poor .   -PRON- have try -PRON- good and have spend á most of -PRON- time study this subject .   finally -PRON- result be á so bad that -PRON- think that -PRON- be just not fair .
1|after go through much shame , -PRON- become a Christian and á something new happen in -PRON- heart .   Joy that overflow be á manif in -PRON- .
4|when -PRON- sister ( really -PRON- niece ) die of cancer at the age of 2 á yrs after -PRON- take -PRON- to the doctor at the age of 1 and -PRON- á diagnose -PRON- .
7|no response .
7|[ -PRON- feel guilt when -PRON- be not co - operative with -PRON- mother for -PRON- á exam . ]
2|-PRON- have worry about a certain illness .
4|the death of -PRON- grandmother .
7|-PRON- have promise , with a friend of mine , to take -PRON- friend to a á restaurant and after have look for a place for hour without á find one , and not be help by the other -PRON- have to give up á the idea .
7|eat the last remain of dinner that someone else ( unknown to á -PRON- ) have claim .
2|-PRON- be walk alone along the place where people fear that there á be always thief there and the people who kill -PRON- friend á during the night two month ago .
7|leave University in 1982 follow exclusion and lie to á parent / friend about reason for leave , i.e. lie about the á fact of have be exclude .
6|when -PRON- receive a letter from -PRON- girlfriend tell -PRON- that -PRON- á be engage to an another man .
6|be unable to stop urinate on the bus .
7|with a group of handicapped people -PRON- go to a party . when -PRON- á want to leave -PRON- be not able to find one of these people . -PRON- á have tell -PRON- mother that -PRON- would leave at 4.30 p.m. , actually -PRON- á be plan for 3.30 p.m. therefore there be a delay .
7|some student have be call lecturer nickname and -PRON- be not á able to find out who -PRON- be to stop -PRON- .
7|when -PRON- realise that -PRON- have reject a boy , who be fall in love á with -PRON- , rather bluntly four time .
6|when -PRON- want to kiss a friend and do not succeed , -PRON- feel shame .
4|-PRON- be very sad when -PRON- hear that -PRON- Auntie have pass away .
2|on a trip to Santander -PRON- want to stop at a curve because a á friend be sick , and the car skid of the gravel .
3|when bicycle along , a courier van start to tail -PRON- very close á - -PRON- speed up and move over and -PRON- just do the same . -PRON- react á violently , much physical responding in the dangerous situation .
1|a sunny Autumn day , after a long rainy period .
5|one of these people who sell meat in town use a knife to stab á -PRON- friend and later carry on use the same knife to cut meat .
2|-PRON- be afraid of move away from home and move to Helsinki for á -PRON- study .
6|-PRON- be jerk -PRON- off in -PRON- bedroom , when suddenly , -PRON- mother come á in . -PRON- look at -PRON- and immediately leave the room .
5|-PRON- feel disgusted when -PRON- be in a helpless position at the loss of á -PRON- fiancee .
2|at primary school the teacher catch -PRON- cheat during a á dictation .
2|when -PRON- be call for an interview at Kamuzu College of Nursing .
6|when friend find out that -PRON- have be lie about where -PRON- have á be on a particular occasion .
6|-PRON- drink wine too often .
4|"upon move away from home for the first time to a different á city , -PRON- feel no long \under the wing\ "" of -PRON- parent even though á"
2|when climb up the stair to the top of a ski - jump hill .
2|-PRON- have climb on a cherry tree alone and there be a thick á caterpillar beside -PRON- finger . -PRON- feel disgusted by caterpillars á and snake . -PRON- be terribly afraid of the caterpillar crawling on á -PRON- finger . out of the fear -PRON- be almost unable to climb down .
4|the death of a friend .
5|when -PRON- be travel to school by bus , -PRON- go past a place á where a sewer have be repair .   there be a bad strong smell á which suffocate -PRON- and -PRON- want to leave the place immediately .
1|the way this particular girl speak , behave , and react the á first time -PRON- be introduce to -PRON- , -PRON- feel certain that something á between -PRON- would materialize .
5|when -PRON- see a wino by some can with Food Stamps and use the á change to buy wine .
4|when -PRON- be at school .
7|carry out a vandalistic act on some window at an old army á location .
3|brother continually interupte while -PRON- be talk on the á telephone .
2|when approach by a gang of youth in town at night .
3|someone call -PRON- a disgusting nickname .
6|-PRON- feel shame when sometimes , ( unconsciously ) -PRON- behave unethically á and without understand the problem of the man -PRON- love .
7|not keep a promise of deliver material of great importance á to the receiver .
1|when -PRON- meet friend -PRON- have not see for the last 2 - 4 year .
3|once -PRON- have an argument with -PRON- friend and -PRON- know that -PRON- be á right .   -PRON- friend go on argue with -PRON- even though -PRON- do á not know the right thing .
5|see a film in which there be several bloody crime .
6|soil -PRON- short trouser with faece .
4|when -PRON- uncle die .
3|when -PRON- be study in the library - prepare for a test , two á people sit next to -PRON- talk to each other for 20 minute .   á there be no other seat so -PRON- could not go elsewhere and -PRON- do    á not want to interrupt -PRON- , so -PRON- could only be angry in -PRON- heart .
6|the first time that -PRON- have to go up on the stage to give a speech .
7|once -PRON- have some homework to do and -PRON- do not do -PRON- .
2|on the scenic railway at the fairground .
1|-PRON- feel joyful when -PRON- hear that -PRON- have be select for College á education .
6|when people next to -PRON- play the fool .
3|a lady -PRON- live with have not bother to clean up before -PRON- go    á on holiday ( -PRON- live in a collective ) .
7|the night of a high school dance , -PRON- go party and collide á with another car . both car be total ; people be injure á but not seriously .
7|when -PRON- stare to much at a pastry that a woman be eat and at á the same instant the pastry feel on the floor .
2|while watch tv ( a war movie ) , -PRON- feel a strong fear of death , á threat and fear of loose people close to -PRON- .
1|when -PRON- be able to afford a new sofa - a leather one which cost á sek 20000 .   -PRON- have wait for -PRON- for 2 - 3 year .
3|when -PRON- fail -PRON- S.S.C exam .
4|-PRON- dear hamster ( call Hannes ) die at the age of 2 and 1/2 year . á -PRON- shape force -PRON- to mercy killing ( an injection ) .
6|after a big fight with -PRON- parent .
3|-PRON- boy - friend have promise -PRON- to come an 10 a.m. - -PRON- be 3 hour á late .
5|this happen when -PRON- could not get into the school -PRON- have á initially want , and end up do something -PRON- have never á think -PRON- would do .
3|recently when -PRON- sister , who be four year young than -PRON- and á very spoiled , shout at -PRON- mother for no apparent reason .   the á heart - break expression on -PRON- mother 's face make -PRON- feel very á angry .
7|-PRON- be when -PRON- injure a friend accidentally with a stone . -PRON- make á a cut on the cheek which result in suture .
1|find out -PRON- grade at the end of -PRON- freshman year .
5|a friend once react childishly ( -PRON- be 23 yearr old ) to -PRON- not á respond in -PRON- favour to a request , that is : -PRON- ask -PRON- for á some money -PRON- refuse , and -PRON- reaction be quite childish .
3|during a family discussion on -PRON- future and -PRON- prospect as a á student , -PRON- accuse -PRON- of not bother about look for a job to á assume -PRON- financial situation .
3|when -PRON- leave after the examination to enter the University , and á even though -PRON- have study the whole year -PRON- make a bad exam .
6|-PRON- boyfriend 's mother , whom -PRON- have not meet early , make an á unexpected visit .   -PRON- be lie lazily on the bed , read a á newspaper and -PRON- boyfriend be study .
2|when -PRON- sleep for the first time all alone in the house where -PRON- á live now . a man phone -PRON- at 2.00 am . -PRON- want something from á -PRON- . -PRON- be afraid .
6|at school - be whip by the teacher in front of the class .
7|insult other people .
7|-PRON- feel guilty one day when -PRON- be accuse of run away from á class and -PRON- be catch .
6|when -PRON- purposely lock -PRON- babysitter out of the house at age 4 á because -PRON- DIDN'T LIKE her .
1|on December the 28th -PRON- be fill with Joy when -PRON- be tell by -PRON- á boss that -PRON- have be select to attend a course at the á Lilongwe School for Health science in Lilongwe .
4|the same as for SHAME and DISGUST . -PRON- be ask to resign -PRON- á sorority which -PRON- do because -PRON- be ashamed .
4|there be a conflict of interest between -PRON- and a close friend of á mine .   -PRON- only think about -PRON- own interest and not about -PRON- á friendship .   this behaviour hurt -PRON- friend .   another incident á be when a friend isolate -PRON- without give any reason .
4|when -PRON- come to know that a girl -PRON- be fond of already have a á boyfriend .
2|when -PRON- decide to separate from -PRON- husband .
4|at an unjust insult or injure .
6|-PRON- be very much ashamed after a friend beat -PRON- at school and I á be defeat .
1|-PRON- receive the message that -PRON- have be accept at the school where -PRON- á really want to go .
5|when -PRON- fail the entrance exam of the medical school and be á study biochemistry which have no job prospect in Zambia .
7|-PRON- be work as a secretary .   -PRON- boss be to go to give a á lecture , and want -PRON- to give -PRON- the exact address of the á place .
1|"last year -PRON- freshman yr . -PRON- be a day in March -PRON- do well on á some test . -PRON- seem to finally adjust to college , -PRON- be hot and á sunny . -PRON- be walk in front of a frat . when -PRON- hear Beach Boys á \Surfin'USA\ "" . -PRON- have this overwhelming feeling that to be at CAL á"
4|when -PRON- get separate from -PRON- first love .
7|when -PRON- be catch with -PRON- girlfriend in the house at night .
2|once , before -PRON- have learn to swim , -PRON- step on a slippery slope á where there be a lot of moss and -PRON- slip into the water .   the á water be very deep and -PRON- could not stand on -PRON- foot .   -PRON- sink á and have to use a lot of energy .
6|-PRON- lie , to be precise -PRON- cancel a meeting with a good friend .
4|-PRON- do not quite succeed in breast feed -PRON- baby .
6|in primary school -PRON- once falter while answer a question and á the other start laugh .
3|when -PRON- check -PRON- examination paper and realize that -PRON- have be á careless , thoughtless , lazy and hasty so as to make unnecessary á mistake concern thing -PRON- know and understand .
1|-PRON- boyfriend suffer form ill health for some month , this week á the physician tell -PRON- that -PRON- be restore to health .
2|when -PRON- father be very drunk and rage at home .
6|somebody who know -PRON- very well discover that -PRON- have tell -PRON- a á lie .
4|during the Christmas holiday , -PRON- go to see -PRON- parent and á stay with -PRON- for two week . after two or three day , -PRON- have á the same conflict -PRON- have have ten year before when -PRON- have live á with -PRON- . -PRON- be glad when -PRON- leave .
6|-PRON- be -PRON- birthday and all the member of the group make -PRON- a á surprise in a public place at 10 p.m. give -PRON- flower and suvenir .
3|when -PRON- girlfriend leave -PRON- to go out with another guy , even á though -PRON- know that -PRON- be wrong .
7|when -PRON- cause problem for somebody because -PRON- could not keep the á appoint time and this lead to various consequence .
6|-PRON- ask -PRON- friend to come with -PRON- to a disco because -PRON- want to á be with a person -PRON- know well . but when -PRON- amuse -PRON- with á other -PRON- let -PRON- friend sit alone , although -PRON- have ask -PRON- to á come .
5|in a public swimming hall -PRON- see a very aggressive man who á practically attack the child who get in -PRON- way when -PRON- be á swimming .
4|when a close friend die .
5|a teacher give -PRON- low grade than -PRON- be entitle to , and be á hope for .
5|a teacher give a test be call by a student by -PRON- first á name . -PRON- ( the teacher ) say that -PRON- do not give -PRON- this liberty .
4|when -PRON- find out that a person -PRON- go to school with have die in á a car accident .
3|someone do not show up at a meeting in spite of have agree to á come .
2|before one of -PRON- final exam of the third year - natural á science .
5|when someone make advance that one do not want .
7|when -PRON- rob a loop in supermarket .
4|[ when -PRON- elder do not understand -PRON- in the right way . ]
4|-PRON- be at home alone when -PRON- realize that a young roe approach á -PRON- house . -PRON- hide because -PRON- do not want to frighten -PRON- . -PRON- á limp . some time later , when -PRON- think that -PRON- have already run á away , -PRON- see -PRON- lie on -PRON- terrace . -PRON- come nearer and see that á -PRON- be terribly wound . -PRON- inform the ranger who say that the á roe must have be attack by dog . -PRON- have to shoot -PRON- .
3|-PRON- classmate always borrow -PRON- note and would not return -PRON- to á -PRON- on time .   when -PRON- have a test -PRON- be selfish and irresponsible á and so delay -PRON- study .
5|when -PRON- be refuse a transfer from -PRON- school to another , simply á because -PRON- be far away from -PRON- house .
3|when -PRON- father make -PRON- mother go through really terrible á situation , -PRON- feel furious , impotent , nervous , upset , ........
7|when -PRON- could not fulfill -PRON- expectation .
5|a drunk man bump into -PRON- and want to grip -PRON- . fortunately -PRON- á be able to break loose .
5|in May somebody blame -PRON- that -PRON- make -PRON- to be catch while á peep during the Nursing Test which make -PRON- feel disgusted .
1|"when after 10 month of national service -PRON- be \downgraded\ "" and á"
5|-PRON- be play a sport in an advanced PE class and many of the á people be not advance .
5|at the crowded condition of living .   -PRON- always quarrel with -PRON- á eld brother as -PRON- put the T.V volume at a deafening level and á -PRON- can not practise -PRON- piano lesson .   thus -PRON- feel that -PRON- home be á disgusting .
4|-PRON- have to terminate a training because -PRON- be not suited for -PRON- . -PRON- á be very sad about this , because -PRON- very much want to finish á that training .
4|-PRON- try to talk to -PRON- parent over the phone , as -PRON- want to go á home for the week - end and -PRON- know that -PRON- would not be able to bear á -PRON- .   -PRON- try to reduce the gulf and the conflict between -PRON- by á talk in order to unite -PRON- world .   result : hysterical mess , á blind and blame .
4|death of -PRON- grandmother .
6|close friend discover -PRON- have deceive -PRON- . Felt shame at have á do -PRON- and know that -PRON- know .
7|call lecturer nickname when talk to houseman ( -PRON- tell á ne -PRON- be even young than -PRON- be so -PRON- should not be give á public lecture ) .
2|afraid of a dead body .
6|not be able to answer question in a seminar .
1|thought have discover true love .
5|a drunk man have fall in the street and -PRON- be shout obscene á word .
7|not get the class paper in time for the lecture .
1|when -PRON- hear that -PRON- have be select for the university .
6|this be when -PRON- be discover steal a piece of bread at home , á -PRON- be very hungry a few hour before supper .
4|-PRON- dog die of a cerebral tumor .
6|on own reading book . recall come to mind of slight sexual á exploitation of a female ( year ago ) i.e. have -PRON- on even for á sexual motive .
1|"when -PRON- uncle give -PRON- -PRON- first year 's result .   -PRON- open the á envelope and -PRON- eye run into two \B+\ "" - in EC110 and M160 , this á"
4|find out -PRON- be not good looking .
5|-PRON- read a book whose plot and expression be obscene and in very á bad taste .
5|-PRON- stay at the Coast for a weekend with friend . -PRON- brother come á to drive -PRON- home , but be rude , and in a hurry to rejoin -PRON- á friend . -PRON- be embarrassed because the family involve be á extremely nice , and hospitable to -PRON- .
6|insult -PRON- girlfriend during a peptalk .
5|[ no response . ]
2|when -PRON- be about six year old , -PRON- mistake a cat for a leopard       á when -PRON- enter -PRON- room at night .
4|a friend 's brother die .
6|can not remember such a situation .
5|someone , who be sit very close to -PRON- , be smoknig in the á compartment of an air condition mini - bus .
5|when -PRON- father reveal inconsistent moral .
2|when in a car accident where car be total wipe off ( wipe out , or á write off ) .
6|make blooper : e.g. tell something negative about a certain á person , while that person be stand besides -PRON- and hear á everything .
2|-PRON- be afraid when -PRON- meet -PRON- Uncle because this time -PRON- be with -PRON- á boyfriend -PRON- think -PRON- be not go to be give pocket money .
5|when -PRON- be a teacher in an evening school , a girl raise a lot of á question and express -PRON- opinion .   -PRON- , very often , take a á stand which be different from -PRON- and -PRON- think that -PRON- á be well than -PRON- .   -PRON- opinion be helpful academically , but   á -PRON- do not take into consideration -PRON- position in public .   also á -PRON- seem to be very talkative and so -PRON- disgust -PRON- .
4|when -PRON- grandfather die .
5|a child tell -PRON- -PRON- have be sexually abuse by -PRON- step - father . á -PRON- only know the child and have not come into contact with either á parent . -PRON- try to do what be good for the child . the event and á the stepfather disgust -PRON- .
4|-PRON- have receive bad news inform -PRON- that grandmother and á grandfather have pass away . the first one to die be -PRON- á grandmother and after two day grandfather die too .
6|nearly catch masturbating .
6|-PRON- make an unkind remark about the ethnicity of some friend á without realize -PRON- .
6|the mother of a friend of mine pass by -PRON- and see -PRON- sit á on a boy 's lap .   -PRON- try to greet -PRON- but could not help á blush .
1|when -PRON- 6 month old son be happy and well .
6|one night -PRON- have a sexual intercourse with another man .   -PRON- sexual á desire and -PRON- curiosity have make -PRON- jump into bed with -PRON- .   -PRON- be á ashamed of -PRON- now .
1|new year 's eve 1983/1984 , -PRON- meet -PRON- girlfriend .   -PRON- stand on the á step outside -PRON- parent home and -PRON- kiss -PRON- for the á first time .
6|-PRON- be watch T.V with -PRON- parent and some pornographic scene á come on , -PRON- feel uncomfortable and try to distract -PRON- parent á attention by talk to -PRON- .
4|-PRON- mother be work with a knife and -PRON- be all laugh á heartily .   -PRON- be not able to control the knife and stick -PRON- á deep into -PRON- hand .
1|after a one year 's stay abroad , -PRON- return home . -PRON- be even more á glad to see how much -PRON- family be pleased to see -PRON- .
5|when -PRON- have to plunge in a swamp of fetid and stagnant water .
4|when -PRON- flute - teacher be replace by a new one .
3|-PRON- be indignant at the unimpartiality show by the referee at á the football match between Bulgaria and France .
3|when -PRON- mother quarrel with -PRON- aunt over -PRON- .
4|when out of work .
7|when -PRON- talk to another student about the note -PRON- get last á semester , not know that -PRON- get a lot of bad grade .
3|when -PRON- be accuse of have refuse to do some hostel work while á -PRON- be at school .   actually -PRON- have not be allocate any work .
2|when -PRON- have cross lilongwe forest -PRON- hear that there be a rabid á hyena just near the path in the forest .
6|not be able to argue against class leader .
6|[ sometimes -PRON- have by accident say to another person something á in which -PRON- be easy to read a negative attitude . ]
3|-PRON- be most angry when India lose the Triangular Cricket trophy á hold in Australia .   -PRON- be so angry that -PRON- fight ( orally ) with -PRON- á friend .
3|the headmistress at a secondary school accuse -PRON- of bang the á classroom door when -PRON- do not in front of the whole class .
2|first day back on the job .
5|disgust with -PRON- for consistently make foolish error in á communicate with other ( ask for 1/2 Kg of nut when -PRON- only á want 50 g ) .
6|an out - patient ask -PRON- to read for -PRON- a certain prescription á but -PRON- be unable to do so . the patient be dissappointe and lose á hope in -PRON- .
4|-PRON- be on -PRON- way back from the Inter Rail , on board the ferry from á Stockholm when -PRON- father call -PRON- at 7 o'clock to tell -PRON- that -PRON- á uncle have die and that -PRON- would be see -PRON- off on -PRON- final á journey within four day .
2|-PRON- tutorial group be soon to be divide , and -PRON- get a list of á name of freshman , out of which five be to be in -PRON- group .   -PRON- á read the name and then each group go -PRON- own way to a seminar á room .   -PRON- wonder how -PRON- would cope with the new situation and if á -PRON- would succeed as a group leader .
5|-PRON- have prepare a special meal for -PRON- boyfriend but when -PRON- á brother come home -PRON- eat -PRON- all .   -PRON- be really disgusted about -PRON- .
4|social situation - at the pub - a close friend of 2 year tell á the group around -PRON- of advance -PRON- have make .
1|when -PRON- find -PRON- -PRON- mother do not have cancer .
3|a murder .
7|when -PRON- library book be overdue and -PRON- do not have the money á to pay for -PRON- .
6|-PRON- have borrow some money and -PRON- exceed the time - limit .
3|one day -PRON- lend -PRON- tennis -PRON- just have wash to -PRON- sister because á -PRON- ask -PRON- . -PRON- ask -PRON- not to soil -PRON- as -PRON- have just wash -PRON- . á Next day -PRON- look at the tennis , and -PRON- be dirty with wax . -PRON- á could not have soil -PRON- . -PRON- be lack of consideration . -PRON- feel á very angry .
7|at secondary school , one of -PRON- classmate lose -PRON- locker key .   á during a class -PRON- see two other classmate hold a key and á talk secretly .   -PRON- do not know why -PRON- suspect -PRON- , also á another classmate support -PRON- .   -PRON- remember that these people á have only one key in the key - ring , this have seem strange to -PRON- . á   besides another classmate say that -PRON- have see -PRON- sell á book at a book - shop and -PRON- should not have have such book .   -PRON- á tell the teacher and the person be catch .   -PRON- have sell the á book and be force to quit school .   -PRON- find that -PRON- have not á help -PRON- as -PRON- steal later on also .   -PRON- feel guilty
1|-PRON- good friend choose for -PRON- english lecture .
5|robbery mention under sadness .
2|when -PRON- mother be seriously ill and have to be admit to the á hospital .
6|when -PRON- state sharply something -PRON- be not very sure of and a few á day later -PRON- be show to be wrong .
4|two year ago -PRON- good friend die in an accident , just a day á before -PRON- birthray .   -PRON- be very close to each other and -PRON- feel á very sad at loose a close friend .
5|in a certain book -PRON- read about cruelty and violence in prison á and souteneur circle ; -PRON- feel especially disgusted when -PRON- read á detailed description of physical and mental torture of less á powerful people .
5|find out that the class leader can go to -PRON- lecture , and á -PRON- English be bad than -PRON- .
4|when -PRON- grandmother die - have to see -PRON- mother weep .
7|one evening -PRON- go fish with some friend but -PRON- could not á fish as a fisherman have already put -PRON- net there .   -PRON- pull á out the net to find only crab in -PRON- so -PRON- throw the net away .   á the net be large and may have cost $ 1000 .   the fisherman use á the net to earn a living and -PRON- have have throw -PRON- .
2|at school , -PRON- have act against the will of the group , and the á next day -PRON- promise to take revenge on -PRON- .
4|when the grandmother of -PRON- friend die in a hospital . -PRON- friend á be cry and -PRON- be sad , too .
6|a day -PRON- be with -PRON- boyfriend and a couple of friend in a bar , á and -PRON- say something that -PRON- do not like ( -PRON- do not remember what ) . á without think -PRON- sleep -PRON- in -PRON- back , get ashamed and á sorry just after .
3|"when -PRON- mother and father split up -PRON- be angry : -PRON- feel deprive á and \different\ "" from other child at school . """
7|-PRON- write a bad letter to someone concern -PRON- relationship which á -PRON- create -PRON- .
4|when -PRON- father pass away in 1978 .   -PRON- be leave alone with -PRON- á mother who be very sick so -PRON- have to go and live with -PRON- aunt , who á be very short temper , till -PRON- mother be discharge from the á hospital .
7|[ no response . ]
7|-PRON- can not recall feel guilty in the near past . REMARK - SUBJECT MAY not have take the exercise very seriously .
3|something be steal .
4|when -PRON- decide not to out any longer with a girl whom -PRON- like á quite a lot .   this make -PRON- feel low for a some time .
4|-PRON- have a very short term romance during the summer vacation .   when á -PRON- first meet -PRON- feel excited but -PRON- want to avoid -PRON- after -PRON- have meet á a few time and so -PRON- propose that -PRON- stay apart , -PRON- feel very á sad then .
2|when -PRON- be go to take the practical exam .
1|when -PRON- get to know that -PRON- have pass the university entrance á exam .   -PRON- think that -PRON- have do one of the exam badly .
1|accept by the college football team .
1|a close acquaintace cry for -PRON- . -PRON- feel happy because somebody á care .
2|first time in anatomy .
5|-PRON- feel disgusted at the environment while get back to -PRON- á student lodging . -PRON- do not see anything in the suburb which have á be plan by take people 's comfort into account .
7|-PRON- girlfriend and -PRON- agree to go to the cinema . however -PRON- á completely forget -PRON- appointment . -PRON- remember -PRON- two hour á too late when -PRON- go to visit -PRON- .
4|death of General Ye Jianying .
2|before an examn .
3|that a friend have be badly beat and stab many time and á the person that do -PRON- get away without any punishment from the á law .
4|when -PRON- be betray by a friend , and decide to stay apart form á -PRON- .
3|one of -PRON- good friend accuse -PRON- of give up to early on á problem . -PRON- be only a casual remark on -PRON- side , but -PRON- be á angry and hurt .
5|-PRON- boarder burp after meal !
1|the day -PRON- be happy be the day when -PRON- receive a phone call á from Eve 's Weekly to inform -PRON- that -PRON- have win the first prize of á the All India Essay competition .   -PRON- have win this prize when -PRON- be á an under - graduate when even post graduate have participate .   -PRON- á have be judge by eminent judge and political scientist .
4|when the guy -PRON- be in love with tell -PRON- that -PRON- have meet someone á else and that -PRON- would not meet again for a year .   although -PRON- á do not have a steady relatioship , -PRON- be have an affair .
7|-PRON- be drive -PRON- parent ' car into a carpark in front of a shop á -PRON- own , and scrape the corner of the front panel on the back á corner of -PRON- father 's utility . -PRON- do not tell anyone , -PRON- lie about á the bump ( later -PRON- have to confess ) .
3|-PRON- mother and -PRON- sister carry on pick at -PRON- all day long for á no reason at all and -PRON- end up get angry .
6|a good friend of mine tell -PRON- in comfidence that once -PRON- have á try to commit suicide . to meet -PRON- -PRON- would not think so . -PRON- á tell another friend of mine about this when -PRON- be feel á depressed about -PRON- twin brother 's suicide . -PRON- break a bond of á confidentiality .
4|-PRON- feel very lonely , be very dissatisfied with -PRON- when -PRON- á realise that -PRON- could feel very jealous of other woman because á of -PRON- boyfriend .
2|-PRON- so happen that while stay at anaunt 's place -PRON- discover á that -PRON- be afraid of sleep in pitch darkness .   the room á which -PRON- sister and -PRON- be share have no light , and -PRON- would á refuse to sleep without have the light of the adjoining á bathroom switch on .
4|-PRON- finish the relationship with -PRON- boyfriend , after have feel á -PRON- very unhappy for a long time .
5|once when -PRON- be babysitte for some neighbor child -PRON- find á roach in ther bathroom . -PRON- have never see a roach before but -PRON- á call -PRON- mother to make sure that be what -PRON- be . and -PRON- come á over and check .
1|-PRON- be about a fortnight ago , -PRON- be declare successful in the á U.G.C exam this year ( only four in Bombay succeed ) .   -PRON- joy á know no bound .
5|when -PRON- get to know the detail if the famine in East Africa .
3|when -PRON- be in F4 -PRON- play a basket - ball match against another á school 's team .   one of -PRON- team member kick a team - mate of á mine so -PRON- kick -PRON- back and -PRON- have a fight with each other .
1|relate to -PRON- close family .
